"coef","est","lo","hi","arm","rep"
"x1",1.88729860003151,1.68388724569076,2.09070995437227,"CC",20
"x2",-0.862418827137603,-1.06393210029514,-0.660905553980068,"CC",20
"gb",1.68148882992009,1.33983414582508,2.0231435140151,"CC",20
"x1",2.01583056807151,1.85485608267315,2.17680505346987,"MI",20
"x2",-0.887376771522497,-1.09956000409419,-0.675193538950807,"MI",20
"gb",1.87473913208544,1.62564493845674,2.12383332571415,"MI",20
"x1",2.09216994679656,1.93706730100376,2.24727259258937,"PMM",20
"x2",-0.963401313626433,-1.14233286387622,-0.784469763376643,"PMM",20
"gb",1.79035908310449,1.42975210866329,2.15096605754568,"PMM",20
"x1",2.02778200594999,1.92122994675139,2.1343340651486,"FULL",21
"x2",-0.954736678611039,-1.05690224922624,-0.852571107995835,"FULL",21
"gb",1.56814105067612,1.38468697763198,1.75159512372026,"FULL",21
"x1",1.8747193193765,1.69688203578768,2.05255660296532,"CC",21
"x2",-0.955343223411852,-1.10708173681112,-0.803604710012581,"CC",21
"gb",1.39283943305132,1.123541440703,1.66213742539964,"CC",21
"x1",2.00008626348634,1.86501412099013,2.13515840598255,"MI",21
"x2",-1.02081374501043,-1.13648226883975,-0.905145221181119,"MI",21
"gb",1.43548427017186,1.21692692479181,1.65404161555191,"MI",21
"x1",2.05738068131511,1.93109145111954,2.18366991151068,"PMM",21
"x2",-1.00492150974286,-1.16027467939937,-0.84956834008634,"PMM",21
"gb",1.53911519920585,1.18008515255061,1.89814524586108,"PMM",21
"x1",2.03284023885308,1.92460138393703,2.14107909376912,"FULL",22
"x2",-0.993865595733746,-1.10158997208003,-0.88614121938746,"FULL",22
"gb",1.67384143540324,1.47943443022808,1.8682484405784,"FULL",22
"x1",1.99446055857452,1.81792465671571,2.17099646043332,"CC",22
"x2",-0.944397015766139,-1.11043194889276,-0.778362082639523,"CC",22
"gb",1.37813821184844,1.06662918828754,1.68964723540933,"CC",22
"x1",2.06962848771187,1.86474460399103,2.27451237143272,"MI",22
"x2",-0.918025661017672,-1.1890338900472,-0.647017431988139,"MI",22
"gb",1.72028253217925,1.43435516671253,2.00620989764597,"MI",22
"x1",2.1126753518029,1.95891108143315,2.26643962217264,"PMM",22
"x2",-0.960846392904183,-1.13477098608365,-0.786921799724715,"PMM",22
"gb",1.58496344765379,1.28291821123544,1.88700868407215,"PMM",22
"x1",2.04567698286495,1.93145950788204,2.15989445784785,"FULL",23
"x2",-1.08781541570603,-1.20452965815112,-0.971101173260943,"FULL",23
"gb",1.52993645722506,1.32537146276829,1.73450145168182,"FULL",23
"x1",2.01457330300799,1.82824434318731,2.20090226282867,"CC",23
"x2",-1.16861709215194,-1.33962536928729,-0.997608815016588,"CC",23
"gb",1.38707278816923,1.07005711339824,1.70408846294023,"CC",23
"x1",2.1038725056191,1.92225412506109,2.2854908861771,"MI",23
"x2",-1.22124984552014,-1.37194651543308,-1.07055317560719,"MI",23
"gb",1.51718153057963,1.12997274943873,1.90439031172053,"MI",23
"x1",2.1704831511868,2.00863045609114,2.33233584628246,"PMM",23
"x2",-1.2303139371712,-1.38782704722194,-1.07280082712045,"PMM",23
"gb",1.5223495002797,1.18735921001023,1.85733979054916,"PMM",23
"x1",1.95797398453333,1.84208229618384,2.07386567288282,"FULL",24
"x2",-0.981386002112985,-1.09439862489006,-0.868373379335913,"FULL",24
"gb",1.58023439490819,1.37670692283494,1.78376186698145,"FULL",24
